Nome do Resort,Plano de Refeição,Descrição Curta,Imagem link,Classificação,Duração,Foco do Resort (tags),Transfer de Malé,Diferencial Único,Ref.,Preço,Slug
Fairmont Maldives Sirru Fen Fushi,All inclusive,"Localizado no isolado Atol Shaviyani conhecido como 'Ilha da Água Secreta' com 120 villas elegantes. Possui a maior piscina infinita das Maldivas (200m), Coralarium - museu subaquático pioneiro e laboratório de sustentabilidade. Agora opera independentemente como Sirru Fen Fushi Private Lagoon Resort.",https://worldlandscapearchitect.com/wp-content/uploads/2020/10/6-SirruFenFushi_Photo_BeachVillaGarden.jpg,5 estrelas,4 noites,"Luxury sustentável, Arte contemporânea, Casais, Privacidade, Experiências culturais",55 min hidroavião até o resort,Coralarium - primeiro museu subaquático do mundo + maior piscina infinita das Maldivas,FM11,3200,fairmont-maldives
Finolhu Baa Atoll Maldives,All inclusive,Localizado no Atol Baa com conceito vintage 1950s-60s e arquitetura colorida vibrante. Localizado na Reserva da Biosfera UNESCO com maior banco de areia privativo das Maldivas (2km). Membro Design Hotels oferece 125 villas com decoração Instagram-worthy e sistema de som Marshall exclusivo.,https://cf.bstatic.com/xdata/images/hotel/max1024x768/301574346.jpg?k=0788f5c73922bb48adea53084804b3c52de19d308b929f430e67d0fd73b033c3&o=,5 estrelas,4 noites,"Lifestyle retro-chic, Casais jovens, Famílias ativas, Entretenimento, Design vintage",30 min hidroavião ou 15 min voo doméstico + 20 min speedboat,Conceito retro-chic único com maior banco de areia privativo das Maldivas (2km) + Beach Club com DJs internacionais,FM12,1160,finolhu
Four Seasons Resort Maldives at Kuda Huraa,Meia pensão (café da manhã e jantar),"Localizado no Atol Male Norte com 96 villas em ilha jardim de 12 hectares. Famoso mundialmente pelo surf com escola Tropicsurf e acesso exclusivo aos melhores breaks das Maldivas. Possui spa em ilha privativa dedicada, Marina Discovery Centre e Seaplane Surfaris únicos no mundo.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/733754369.jpg?k=0f7b91951c8ed508cbc9ce3a887b7a186bd930a8b2f9cff9ece58cdca3bc430b&o=,5 estrelas,4 noites,"Surf world-class, Famílias ativas, Casais, Mergulho, Tennis",25 min speedboat,Único resort de surf Four Seasons do mundo com Seaplane Surfaris exclusivos,FM13,5000,four-seasons-kuda
Four Seasons Resort Maldives at Landaa Giraavaru,Meia pensão (café da manhã e jantar),"Localizado no Atol Baa (Reserva UNESCO) com 103 villas em ilha de 44 hectares com lagoa de 2km. Famoso mundialmente pelo Marine Discovery Centre e programa de pesquisa das manta rays. Oferece spa ayurvédico, programa de reabilitação de tartarugas e acesso exclusivo à Baía Hanifaru com a maior população conhecida de raias-manta do mundo.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/733802965.jpg?k=d7ce012d632a34fbd5cf70bf047a38df60f6585403a29a6f6bcaaaf2d03faabc&o=,7 estrelas,4 noites,"Conservação marinha, Pesquisa científica, Famílias, Luxury sustentável, Manta rays",40 min hidroavião,Marine Discovery Centre único + maior banco de dados mundial de manta rays,FM14,4400,four-seasons-landaa
Gili Lankanfushi Maldives,Meia pensão (café da manhã e jantar),"Localizado no Atol Male Norte a 20 minutos de speedboat do aeroporto, este resort eco-luxury pioneiro oferece conceito 'No News, No Shoes' com 45 villas sobre a água construídas com materiais sustentáveis. Cada hóspede recebe um 'Mr. Friday' pessoal e acesso ao primeiro observatório sobre a água das Maldivas.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535818160.jpg?k=f8f2222cf5c2c93cc68d2ebbe05a05763c7991aa966e16551240f2ab4b9d2966&o=,6 estrelas,4 noites,"Eco-luxury sustentável, Casais, Experiência barefoot, Privacidade, Wellness",20 min speedboat,Primeiro observatório sobre a água das Maldivas,FM15,2340,gili-lankanfushi
Hard Rock Hotel Maldives,All inclusive,"Localizado no Atol Male Sul no complexo Emboodhoo Lagoon/CROSSROADS, primeiro resort multi-ilha das Maldivas com 178 quartos temáticos musicais. Oferece guitarras Fender nos quartos, sistema de som subaquático na piscina, memorabília musical autêntica e acesso direto ao Hard Rock Cafe e The Marina via ponte.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437570549.jpg?k=d68bd5807eae8152b42ded19af15d4e4f372225c3755cfc9ef90b68086ceab61&o=,5 estrelas,4 noites,"Entretenimento musical, Famílias ativas, Casais jovens, All-inclusive, Lifestyle energético",15 min speedboat,Sistema de som subaquático na piscina + guitarras Fender gratuitas nos quartos,FM16,1000,hard-rock
Heritance Aarah Maldives,All inclusive,"Localizado no Atol Raa com 150 villas premium em ilha de 33 hectares a 40 minutos de hidroavião de Malé. Primeiro resort LEED Gold certificado das Maldivas oferece conceito Premium All-Inclusive com 7 restaurantes, 5 bares, spa IASO Medi Spa inovador e serviço de butler personalizado 24h para cada villa.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/382631398.jpg?k=c7723ebd97ae9a4e60dd12f088959a5db4c4a68c47271aab7a3effbb30107169&o=,6 estrelas,4 noites,"Premium All-Inclusive, Casais, Famílias luxury, Sustentabilidade certificada, Butler service",40 min hidroavião,Primeiro resort LEED Gold das Maldivas + IASO Medi Spa inovador,FM17,1900,heritance-aarah
Hideaway Beach Resort & Spa,All inclusive,"Localizado no Atol Haa Alif na ilha em formato crescente de Dhonakulhi, uma das maiores ilhas resort das Maldivas com 290 km² e apenas 5% construída. Oferece 101 villas ultra-espaçosas com piscinas privativas, duplo house reef único, marina própria e The Signature Collection - conceito resort dentro do resort para máximo luxury.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427649347.jpg?k=0d2ac3986911bf9ea26dcec355aa09e6efa89bd12e043eecb1186a54d2456f5c&o=,5 estrelas,4 noites,"Ultra-luxury privativo, Casais exclusivos, Famílias VIP, Mergulho world-class, Privacidade absoluta",60 min voo doméstico + 20 min speedboat,Duplo house reef único + marina própria,FM18,2100,hideaway-beach-resort
Hurawalhi Island Resort,All inclusive,"Localizado no Atol Lhaviyani com conceito adults-only em ilha privativa de 11 hectares. Famoso pelo 5.8 Undersea Restaurant - maior restaurante subaquático do mundo a 5,8 metros de profundidade. Oferece 90 villas modernas, spa sobre a água e recife próprio excepcionalmente preservado ideal para mergulho e snorkeling.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/82642217.jpg?k=5293e7da4f046fc4ba2be1af49990dd937a7903732fa9ab319f0ad49ce4969e2&o=,6 estrelas,4 noites,"Adults-only exclusivo, Casais românticos, Mergulho premium, Gastronomia subaquática, Intimidade",40 min hidroavião,5.8 Undersea Restaurant - maior restaurante subaquático do mundo,FM19,1680,hurawalhi-island
Huvafen Fushi,Meia pensão (café da manhã e jantar),"Localizado no Atol Male Norte a 30 minutos de speedboat do aeroporto, este resort boutique com apenas 46 villas renovado em 2024 oferece o primeiro spa subaquático do mundo. Cada villa possui piscina privativa e design contemporâneo sofisticado. Inclui adega subterrânea única e experiências gastronômicas exclusivas com mixologistas de Londres.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568216339.jpg?k=057904b8d72ad6e6f19840152dba0cf43d78741d1c5aab110d4b6e9a57c8640f&o=,6 estrelas,4 noites,"Boutique luxury, Casais, Spa subaquático exclusivo, Gastronomia premium, Design sofisticado",30 min speedboat,Primeiro spa subaquático do mundo + primeira adega subterrânea das Maldivas,FM20,1354,huvafen-fushi
InterContinental Maldives,All inclusive,"Localizado no Atol Raa próximo à Reserva da Biosfera UNESCO Hanifaru Bay, este resort premium com 81 villas oferece design contemporâneo colorido único. Benefícios Club InterContinental inclusos, AVI Spa overwater premiado e Marina Discovery Centre com programa de conservação das manta rays. Layout inovador em 3 áreas distintas da ilha.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/430993237.jpg?k=87cdb1db5aa7f4b81a9d2e21c6715e02d29c50522f360da0cb9cb656d2d01201&o=,5 estrelas,4 noites,"Luxury familiar, Conservação marinha, Club InterContinental, Manta rays, Sustentabilidade",35 min hidroavião,Primeiras lagoon villas de dois andares das Maldivas + parceria Manta Trust,FM21,824,intercontinental
Iru Veli Maldives,All inclusive,"Localizado no Atol Noonu com conceito adults-only em ilha íntima de 10 hectares. Resort boutique com apenas 82 villas e foco em privacidade absoluta oferece spa The Essence com tratamentos ayurvédicos, 5 restaurantes gourmet e acesso a recife pristine. Ideal para casais em lua de mel buscando experiência romântica exclusiva.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/428689266.jpg?k=bc5bbaa54eb67be85ffe360475bb6beac490497279496a29ff7b5c121d162d5d&o=,5 estrelas,4 noites,"Adults-only exclusivo, Romance, Casais, Privacidade, Wellness ayurvédico",45 min hidroavião,Conceito adults-only com apenas 82 villas + spa The Essence ayurvédico + ilha privativa de 10 hectares sem outras propriedades no horizonte,FM22,750,iru-veli
Jawakara Islands Maldives,All inclusive,"Localizado no Atol Shaviyani em complexo de duas ilhas conectadas por ponte, oferece experiência única multi-ilha com 288 villas distribuídas. Conceito inovador combina ilha principal com atividades familiares e ilha secundária com zona adults-only. Possui maior piscina infinita das Maldivas e centro de mergulho PADI completo.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538979078.jpg?k=9543a4b4e51e2036242609bc9f9f3d32f0cd294511fb4401f604803a19896b64&o=,5 estrelas,4 noites,"Multi-ilha inovador, Famílias grandes, Casais, All-inclusive premium, Mergulho PADI",50 min hidroavião,Único resort de duas ilhas conectadas por ponte + maior piscina infinita das Maldivas + conceito híbrido familiar/adults-only,FM23,900,jawakara-islands
JOALI Being,Café da manhã,"Localizado no Atol Raa como primeiro resort wellness das Maldivas dedicado exclusivamente ao bem-estar mental, físico e espiritual. Oferece 68 villas com programas transformacionais personalizados, JOALI BEING Wellbeing Centre com medicina integrativa, terapias de som e experiências de biohacking. Conceito revolucionário focado em longevidade e renovação interior.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/596830985.jpg?k=48da4c56a389da94c87ecd22d05460831d15bfdbe338756feaab7adc2a20fd1d&o=,7 estrelas,4 noites,"Wellness transformacional, Medicina integrativa, Longevidade, Biohacking, Renovação holística",40 min hidroavião,Primeiro resort wellness das Maldivas + programa de medicina integrativa único + terapias pioneiras,FM24,3500,joali-being
JOALI Maldives,Café da manhã,"Localizado no Atol Raa com conceito 'Joy of Living' em ilha de arte contemporânea com 73 villas. Cada villa apresenta obras de arte exclusivas de artistas internacionais, biblioteca Maldivian Heritage com curador residente e spa ESPA com tratamentos personalizados. Design imersivo combina luxury com expressões artísticas únicas e sustentabilidade.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/174805539.jpg?k=df7d84ef0cc02e9e01d4a5b629a7de1a6db3e8f14caaed3e3b6b712ec1bf7ee5&o=,6 estrelas,4 noites,"Arte contemporânea, Casais culturais, Design imersivo, Sustentabilidade, Experiências curatoriais",40 min hidroavião,Resort-galeria de arte com obras exclusivas + biblioteca Maldivian Heritage com curador,FM25,2800,joali-maldives
JW Marriott Maldives Resort & Spa,All inclusive,"Localizado no Atol Shaviyani com 60 luxuosas villas sobre a água e na praia distribuídas em ilha privativa. Famoso pelo Spa by JW overwater com vista para o oceano, Little Griffins Kids Club com atividades para crianças e restaurante Hashi com teppanyaki japonês nas árvores. Conceito familiar premium com serviço de butler personalizado.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/643200447.jpg?k=d9547756c40cf9f7ced8b9b785b2d590f1f36bb12a069a8b7174d2617326ac79&o=,6 estrelas,4 noites,"Famílias luxury, Casais, Spa overwater exclusivo, Crianças ativas, Butler service",50 min hidroavião,Spa by JW overwater com vista oceânica + restaurante Hashi teppanyaki nas árvores,FM26,3100,jw-marriott-maldives
Kuda Villingili Resort Maldives,All inclusive,"Localizado no Atol Male Norte a apenas 30 minutos de speedboat do aeroporto, oferece 75 villas elegantes com acesso direto ao famoso surf break Chickens. Possui a maior piscina infinity de água doce das Maldivas (150m), 7 restaurantes world-class, Whiskey & Cigar Lounge exclusivo e spa overwater com tratamentos inspirados em tradições asiáticas.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/602138401.jpg?k=e36866239b1435481bb6e1a74e4b4cbaa1da0367f76bef94621b0b11901199e3&o=,6 estrelas,4 noites,"Luxury acessível, Casais, Famílias ativas, Surf premium, Gastronomia diversificada",30 min speedboat ,Maior piscina infinity de água doce das Maldivas (150m) + acesso direto ao surf break Chickens,FM27,2874,kuda-villingili
Kudadoo Maldives Private Island,All inclusive,Localizado no Atol Lhaviyani como resort adults-only ultra-exclusivo com apenas 15 overwater residences. Conceito revolutionário 'Anything. Anytime. Anywhere' inclui tudo sem limites - desde helicopter transfers até experiências gastronômicas personalizadas com chef privativo. Solar-powered com maior telhado solar das Maldivas e máxima sustentabilidade.,https://cf.bstatic.com/xdata/images/hotel/max1024x768/163078427.jpg?k=fc71b4c24785a2315d7f35ac6f2c9527283fb7c739df466c6cfd8908ed22a73c&o=,7 estrelas,4 noites,"Ultra-luxury exclusivo, Adults-only, Sustentabilidade total, Experiências ilimitadas, Privacidade absoluta",40 min hidroavião ou helicopter transfer,Conceito 'Anything. Anytime. Anywhere' tudo incluído + apenas 15 residences,FM28,8400,kudadoo
Kuredhivaru Maldives,All inclusive,"Localizado no Atol Lhaviyani como resort boutique adults-only com 40 villas sobre a água em design contemporâneo sofisticado. Membro Small Luxury Hotels oferece máxima privacidade com spa The Sandhani overwater, restaurante Sangu fine dining e acesso exclusivo a recife pristine. Conceito romantic retreat premium para casais.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/752063791.jpg?k=bb4e31d2ead4f0c6031eb0bd0b6d1ea4a917a63940bcbbfc48aefebdb167520a&o=,6 estrelas,4 noites,"Adults-only boutique, Casais românticos, Privacidade exclusiva, Fine dining, Mergulho premium",45 min hidroavião,Spa The Sandhani overwater + restaurante Sangu fine dining exclusivo,FM29,1680,kuredhivaru
Le Méridien Maldives Resort & Spa,All inclusive,"Localizado no Atol Lhaviyani na ilha privativa de Thilamaafushi com 141 villas elegantes distribuídas em 9 hectares. Membro Marriott Bonvoy oferece design mid-century único, Marine Conservation Hub pioneiro, greenhouse hidropônica de 430m² (a maior das Maldivas) e spa overwater com vistas deslumbrantes. Experiência familiar premium com programa de conservação das tartarugas.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510277946.jpg?k=42aadee4733dd426291f4ac14a75f01cfceb6b99f6abaf8ae3d9623cfe0444e8&o=,5 estrelas,4 noites,"Familiar sustentável, Conservação marinha, Design mid-century, Cultura europea, Experiências educativas",35 min hidroavião,Marine Conservation Hub com programa tartarugas + spa overwater com chão de vidro,FM30,1648,le-meridien
Milaidhoo Island Maldives,Meia pensão (café da manhã e jantar),"Localizado no Atol Baa (Reserva UNESCO) em ilha boutique de 300x180 metros com apenas 50 villas adults-only. Membro Small Luxury Hotels oferece conceito 'barefoot luxury' com piscinas privativas que se iluminam à noite, restaurante Ba'theli em barcos tradicionais sobre a lagoa e acesso privilegiado ao recife casa premiado. Butler pessoal 24h para cada hóspede.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/233566771.jpg?k=9ed8342bcccb79085956d44a67699f3b99f181c3e7691c94f846fae4c70f923f&o=,5 estrelas,4 noites,"Adults-only boutique, Casais românticos, Barefoot luxury, Heritage maldívio, Privacidade absoluta",35 min hidroavião,Restaurante Ba'theli único em barcos tradicionais,FM31,3520,milaidhoo-island
Niyama Private Islands Maldives,All inclusive,"Localizado no Atol Dhaalu em conceito revolucionário de duas ilhas conectadas - Play (atividades e família) e Chill (relaxamento e adultos). 134 villas distribuídas entre as ilhas oferece SUBSIX - clube subaquático único a 6 metros de profundidade, Tribal Lounge suspenso nas árvores e experiências personalizadas com Edge Aqua Sports. Conceito híbrido único no mundo.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/331986349.jpg?k=170b06ff0ba58c7b216f0d60b5f72246767cb91fab24968c9dc76e30881650e8&o=,6 estrelas,4 noites,"Dual-island único, Famílias ativas, Casais aventureiros, Esportes aquáticos extremos, Experiências inovadoras",40 min hidroavião ou 25 min voo doméstico + 15 min speedboat,SUBSIX clube subaquático único a 6m de profundidade,FM32,2010,niyama-private-islands
NOOE Maldives Kunaavashi,All inclusive,"Localizado no Atol Vaavu conhecido como 'Wow Atoll' pela abundante vida marinha, este resort 5 estrelas em ilha privativa de 72 villas oferece conceito lifestyle equilibrado 'perfect balance'. Apenas 60 minutos de speedboat ou 24 minutos de hidroavião de Malé, possui recife próprio pristine, spa Th·āri com tratamentos holísticos e 6 restaurantes diversos incluindo w·āsho'ku japonês.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/605694845.jpg?k=64b30e264e7cb10e4c066b207f6f25669ea7a2ff557dc689b824e104864bb4a4&o=,5 estrelas,4 noites,"Lifestyle equilibrado, Casais, Famílias ativas, Recife próprio, Wellness holístico",60 min speedboat ou 24 min hidroavião ,Vida marinha abundante + spa Th·āri com tratamentos baseados em elementos naturais,FM33,2240,nooe-maldives
One&Only Reethi Rah,Café da manhã,"Localizado no Atol Male Norte em ilha privativa em formato de polvo com 6km de costa e 12 praias esculpidas à mão. Este resort ultra-luxury possui 118 villas projetadas por Jean-Michel Gathy, cada uma com concierge pessoal e Villa Valet dedicado. Oferece 8 restaurantes world-class, spa overwater com 14 salas de tratamento e zona horária própria (1h à frente de Malé).",https://cf.bstatic.com/xdata/images/hotel/max1024x768/692525573.jpg?k=1d8128a5e4eb9eb76957ce3795ac7ed2addfb1809fff6b4aace9f171c7a67769&o=,7 estrelas,4 noites,"Ultra-luxury exclusivo, Celebridades, Famílias VIP, Gastronomia world-class, Privacidade absoluta",75 min luxury yacht ou 45 min speedboat,12 praias esculpidas à mão + ilha em formato de polvo com 6km de costa,FM34,7800,one-and-only-reethi-rah
"Patina Maldives, Fari Islands",Meia pensão (café da manhã e jantar),"Localizado no Atol Male Norte nas inovadoras Fari Islands criadas pela Pontiac Land, este resort contemporary luxury com 90 villas oferece design arquitetônico vanguardista inspirado na natureza. Faz parte de complexo sustentável multi-resorts com Capella Maldives, possui estúdios Patina para experiências artísticas e design biofílico único integrando natureza e luxury moderno.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/309196308.jpg?k=0d80d5b2c56762975ac2d23e5fefb384ad6ed1a74df0d4785a4bef1f942b0951&o=,6 estrelas,4 noites,"Contemporary luxury, Design vanguardista, Arte contemporânea, Sustentabilidade, Casais sofisticados",45 min speedboat,Arquitetura biofílica vanguardista + estúdios Patina para experiências artísticas,FM35,4200,patina-maldives
Radisson Blu Resort Maldives,All inclusive,"Localizado no Atol Alifu Alifu em ilha tropical natural com 128 villas sobre a água e na praia. Resort familiar premium com Kids Club ativo, spa holístico SENSES, Blu Beach Club energético e acesso direto a recife casa pristine. Conceito hospitality internacional Radisson com toque maldívio autêntico e programa all-inclusive opcional Blu All-Inclusive.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/665367104.jpg?k=f4413358a2d994da1016a87f13d27730b745af8834e86c1d1e125b3bd2d706eb&o=,5 estrelas,4 noites,"Familiar premium, All-inclusive opcional, Casais, Atividades aquáticas, Hospitalidade internacional",30 min hidroavião ,Blu Beach Club energético + spa SENSES holístico,FM36,1890,radisson-blu
Six Senses Kanuhura,Meia pensão (café da manhã e jantar),"Localizado no Atol Lhaviyani em ilha pristine de 17 hectares com apenas 24 villas, este resort boutique ultra-exclusivo oferece máxima privacidade e conceito wellness Six Senses. Possui spa Six Senses Earth Lab pioneiro, programa sustentabilidade integral, experiências personalizadas com marine biologist dedicado e recife próprio excepcional para mergulho. Reopened 2023 após renovação completa.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462447939.jpg?k=1e7a7314170df182682d71d7758afc166ec83bbb60284cce42a8187db6b88b48&o=,6 estrelas,4 noites,"Ultra-exclusivo wellness, Sustentabilidade integral, Casais sofisticados, Marine biology, Privacidade absoluta",35 min hidroavião,Apenas 24 villas para máxima exclusividade + programa sustentabilidade integral Six Senses,FM37,4800,six-senses-kanuhura
Six Senses Laamu,Meia pensão (café da manhã e jantar),"Localizado no remoto Atol Laamu (único resort no atol) no sul das Maldivas, este resort eco-luxury pioneiro oferece experiência 'barefoot luxury' autêntica com 97 villas sustentáveis. Famoso pelo The SHELL centro de pesquisa marinha, casa recife de 1,5km pristine, restaurante overwater LEAF com mesas de vidro sobre o oceano e conceito wellness Six Senses com spa 'nests' na vegetação tropical.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/483868197.jpg?k=f771be1e5a6d11a988153197e10e4454d2aa4dbb6d233e4246a2c0c7b277fe7f&o=,6 estrelas,4 noites,"Eco-luxury sustentável, Barefoot experience, Wellness Six Senses, Pesquisa marinha, Casais conscientes",65 min hidroavião ou 45 min voo doméstico + 20 min speedboat ,The SHELL centro pesquisa marinha + conceito 'barefoot luxury' pioneiro,FM38,4320,six-senses-laamu
Siyam World Maldives,All inclusive,"Localizado no Atol Noonu em ilha de 54 hectares, o maior resort das Maldivas oferece conceito revolucionário WOW! 24h Premium All-Inclusive com experiências ilimitadas. Possui o maior parque aquático flutuante do Oceano Índico, única pista de kart elétrico das Maldivas, rancho de cavalos exclusivo e 18 categorias de acomodação desde villas com piscina e tobogã até residências de 6 quartos.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/336605813.jpg?k=7dfd9772bbe51af3f594778f185a8c28110d97d1087b9be746b57346ca3c02fb&o=,4 estrelas,4 noites,"Famílias ativas, All-inclusive premium, Grupos grandes, Aventura aquática, Entretenimento diversificado",45 min hidroavião ou 30 min voo doméstico + 10 min speedboat,Maior resort das Maldivas + maior parque aquático flutuante do Oceano Índico,FM39,2400,siyam-world
SO/ Maldives,All inclusive,"Localizado no Atol Male Norte em ilha privativa com design vanguardista assinado por Kenzo Tange, este resort lifestyle contemporâneo oferece conceito 'SO/' único da Accor com 80 villas. Arquitetura futurística combina elementos tradicionais maldívios com design francês sofisticado, spa So SPA com tratamentos personalizados e experiências gastronômicas criativas com influências asiáticas e europeias.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/754751238.jpg?k=2c35289ad44dfe7720fd5f06a018ea076b2752eff3519350a2d0b4607e969929&o=,5 estrelas,4 noites,"Lifestyle contemporâneo, Design vanguardista, Casais sofisticados, Arte moderna, Gastronomia criativa",45 min speedboat ,Design arquitetônico futurista por Kenzo Tange + fusão design francês-maldívio vanguardista,FM40,3600,so-maldives
